purpose_text,transaction_type
Rental Agency apartment rent,rent
DINNER BILL,restaurant
lidl grocery store purchase supermarket payment,groceries
FOOD DELIVERY ORDER VAPIANO RESTAURANT PAYMENT,restaurant
ride inv,transport
JOYCE LUNCH PAYMENT,restaurant
CAFE PURCHASE,restaurant
Enefit utility pay,utilities
amazon card payment,subscription
Apple October card payment,subscription
PAYROLL SALARY PAYMENT,salary
property management monthly rent apartment rent,rent
hesburger bank transfer dinner bill,restaurant
amazon online shopping,shopping
elisa utility payment utility payment,utilities
Apollo Cinema bank transfer,entertainment
ELEKTRILEVI UTILITY BILL,utilities
ride pay,transport
GROCERY PAYMENT,groceries
COMPANY LTD SERVICE PAYMENT,salary
Amazon bank transfer subscription pay,subscription
travel pay,transport
travel pay,transport
Maxima invoice payment grocery payment,groceries
Vapiano lunch pay,restaurant
online order,shopping
employer september bank transfer,salary
TELIA UTILITY PAYMENT,utilities
playstation service payment,entertainment
steam movie ticket,entertainment
ORDER PAYMENT,shopping
YouTube sub payment sub payment,subscription
travel invoice,transport
Amazon invoice pay,shopping
selver supermarket payment,groceries
steam concert ticket,entertainment
Company Ltd monthly salary,salary
November utility bill Telia utility bill,utilities
PLAYSTATION CARD PAYMENT,entertainment
amazon bank transfer online order,shopping
service pay Elisa,utilities
joyce restaurant payment cafe purchase,restaurant
Bolt bank transfer,transport
invoice pay Joyce,restaurant
Lidl grocery pay,groceries
vapiano bank transfer,restaurant
RESTAURANT PAYMENT JOYCE,restaurant
restaurant pay Vapiano,restaurant
BENU PHARMACY PURCHASE,healthcare
McDonalds invoice payment dinner bill,restaurant
euronics online order,shopping
PROPERTY MANAGEMENT APARTMENT RENT,rent
BANK TRANSFER VAPIANO DINNER BILL,restaurant
Uber bank transfer travel invoice,transport
RENTAL AGENCY MONTHLY RENT,rent
Apollo Cinema service payment,entertainment
grocery payment coop,groceries
microsoft february bank transfer subscription payment,subscription
landlord rent payment,rent
telia utility bill,utilities
landlord apartment rent,rent
Bolt ride invoice,transport
YouTube subscription payment,subscription
Payroll salary pay monthly salary,salary
lidl bank transfer,groceries
benu doctor bill pharmacy purchase,healthcare
arvutitark online purchase online purchase,shopping
Netflix game purchase cinema payment,entertainment
YouTube November sub payment monthly sub payment,subscription
SELVER BANK TRANSFER,groceries
monthly sub payment,subscription
company ltd monthly salary,salary
LIDL GROCERY PAYMENT,groceries
MCDONALDS SERVICE PAYMENT,restaurant
Employer March monthly salary,salary
PlayStation card pay,entertainment
Enefit utility bill,utilities
Apotheka card pay,healthcare
dinner bill,restaurant
Zalando invoice pay,shopping
card pay McDonalds,restaurant
confido pharmacy purchase,healthcare
Landlord monthly rent,rent
Euronics service pay,shopping
arvutitark online shopping online shopping,shopping
SPOTIFY MOVIE TICKET GAME PURCHASE,entertainment
landlord rent payment,rent
Vapiano restaurant payment,restaurant
UTILITY PAYMENT UTILITY BILL,utilities
hesburger card payment,restaurant
LANDLORD APARTMENT RENT RENTAL PAYMENT,rent
online shopping,shopping
Joyce service pay,restaurant
netflix invoice payment,entertainment
rental agency card payment,rent
February sub payment,subscription
Netflix service pay subscription pay,subscription
lunch payment,restaurant
Synlab doctor bill,healthcare
MICROSOFT RECURRING SUBSCRIPTION,subscription
YouTube February subscription pay,subscription
Steam invoice pay,entertainment
SPOTIFY CONCERT TICKET CONCERT TICKET,entertainment
Forus Taxi travel payment,transport
LUNCH PAYMENT,restaurant
Company Ltd May bank transfer,salary
rental agency apartment rent,rent
Landlord apartment rent payment,rent
lunch payment,restaurant
pharmacy purchase medical payment,healthcare
Property Management bank transfer,rent
amazon card payment online shopping,shopping
company ltd card payment,salary
Arvutitark online shopping,shopping
bank transfer Confido,healthcare
SERVICE PAYMENT COMPANY LTD SALARY PAYMENT,salary
Elisa January utility pay,utilities
ELEKTRILEVI SERVICE PAYMENT,utilities
Euronics online shopping,shopping
service pay Apollo Cinema,entertainment
August invoice payment Landlord,rent
Apple online shopping,shopping
Apple subscription payment,subscription
grocery store purchase grocery payment,groceries
BOLT CARD PAYMENT,transport
TRAVEL PAYMENT UBER,transport
elektrilevi utility payment,utilities
food delivery order mcdonalds bank transfer,restaurant
Employer service payment,salary
TRAVEL PAYMENT TRAVEL INVOICE,transport
confido pharmacy purchase,healthcare
selver grocery store purchase,groceries
RENTAL PAYMENT LANDLORD,rent
BENU MEDICAL PAYMENT,healthcare
travel invoice Forus Taxi,transport
Elektrilevi September utility bill,utilities
Rental Agency rental pay,rent
SPOTIFY MONTHLY SUBSCRIPTION PAYMENT,subscription
Elisa December utility payment,utilities
Employer September inv payment,salary
Selver grocery pay,groceries
TELIA BANK TRANSFER,utilities
ride payment uber,transport
March subscription pay,subscription
online shopping Zalando,shopping
netflix concert ticket,entertainment
McDonalds invoice payment,restaurant
Netflix sub payment,subscription
company ltd bank transfer wage transfer,salary
maxima invoice payment,groceries
subscription payment,subscription
McDonalds lunch payment,restaurant
card payment employer,salary
playstation movie ticket,entertainment
bank transfer Maxima supermarket pay,groceries
TELIA BANK TRANSFER,subscription
FORUS TAXI RIDE PAYMENT,transport
UTILITY PAYMENT,utilities
dinner bill,restaurant
Telia utility pay,utilities
ENEFIT UTILITY BILL,utilities
service payment rental agency apartment rent,rent
MEDICAL PAYMENT SYNLAB,healthcare
Elisa card payment,utilities
SERVICE PAYMENT SPOTIFY,entertainment
Telia April utility bill utility payment,utilities
Property Management rental payment,rent
landlord november service payment,rent
payroll june wage transfer,salary
Zalando bank transfer,shopping
Employer salary pay,salary
telia july utility bill,utilities
Elisa June card payment,utilities
FORUS TAXI RIDE PAYMENT,transport
BENU DOCTOR BILL,healthcare
bank transfer forus taxi,transport
Rental Agency rental payment apartment rent,rent
benu bank transfer,healthcare
Vapiano service payment,restaurant
STEAM GAME PURCHASE CINEMA PAYMENT,entertainment
apotheka invoice payment medical payment,healthcare
ride pay,transport
confido card payment,healthcare
utility payment,utilities
cinema payment concert ticket,entertainment
Rental Agency inv payment,rent
PlayStation card pay,entertainment
Benu service payment pharmacy purchase,healthcare
ENEFIT CARD PAYMENT UTILITY PAYMENT,utilities
joyce cafe purchase,restaurant
AMAZON ONLINE SHOPPING,shopping
Elektrilevi April service pay,utilities
online order Arvutitark,shopping
ELISA SEPTEMBER CARD PAYMENT,utilities
amazon online order,shopping
APOTHEKA DOCTOR BILL,healthcare
Enefit card pay utility bill,utilities
supermarket payment,groceries
grocery store purchase,groceries
elisa utility bill utility payment,utilities
utility bill,utilities
VAPIANO DINNER BILL RESTAURANT PAYMENT,restaurant
ZALANDO BANK TRANSFER,shopping
service payment microsoft,subscription
wage transfer company ltd invoice payment,salary
BOLT RIDE PAYMENT RIDE INVOICE,transport
Amazon online shopping,shopping
amazon online shopping,shopping
supermarket pay,groceries
ride pay,transport
AMAZON ONLINE ORDER,shopping
Benu card pay,healthcare
Rental Agency rental payment,rent
PlayStation cinema pay game purchase,entertainment
selver grocery payment,groceries
JOYCE SERVICE PAYMENT,restaurant
Selver grocery store purchase,groceries
APPLE ONLINE SHOPPING,shopping
YOUTUBE SEPTEMBER RECURRING SUBSCRIPTION,subscription
apollo cinema game purchase,entertainment
forus taxi ride invoice,transport
COOP BANK TRANSFER,groceries
selver service payment grocery store purchase,groceries
FEBRUARY BANK TRANSFER,salary
Spotify game purchase,entertainment
monthly subscription payment monthly subscription payment,subscription
selver service payment,groceries
Company Ltd card payment,salary
Landlord monthly rent,rent
May rental pay Landlord,rent
CONFIDO INVOICE PAYMENT PHARMACY PURCHASE,healthcare
MCDONALDS DINNER BILL,restaurant
Synlab medical pay,healthcare
utility payment,utilities
TRAVEL INVOICE,transport
Amazon recurring subscription,subscription
Arvutitark online shopping,shopping
ONLINE ORDER,shopping
McDonalds lunch pay,restaurant
Benu medical pay,healthcare
Microsoft January bank transfer,subscription
card payment arvutitark,shopping
BOLT TRAVEL PAYMENT,transport
utility bill,utilities
payroll wage transfer,salary
RENTAL AGENCY APARTMENT RENT APARTMENT RENT,rent
MICROSOFT BANK TRANSFER,subscription
telia december utility payment,utilities
supermarket pay,groceries
forus taxi bank transfer,transport
McDonalds bank transfer,restaurant
ride invoice card payment bolt,transport
Joyce lunch pay restaurant pay,restaurant
LIDL GROCERY STORE PURCHASE,groceries
uber travel invoice,transport
confido pharmacy purchase doctor bill,healthcare
utility bill elektrilevi,utilities
Forus Taxi ride invoice,transport
YouTube September inv payment,subscription
McDonalds card pay,restaurant
AMAZON ONLINE SHOPPING,shopping
Employer May monthly salary,salary
Selver invoice payment,groceries
recurring sub,subscription
VAPIANO DINNER BILL,restaurant
CARD PAYMENT PLAYSTATION,entertainment
APPLE SERVICE PAYMENT,shopping
Benu bank transfer,healthcare
