purpose_text,transaction_type
rental agency apartment rent,rent
dinner bill,restaurant
lidl grocery store purchase supermarket payment,groceries
food delivery order vapiano restaurant payment,restaurant
ride inv,transport
joyce lunch payment,restaurant
cafe purchase,restaurant
enefit utility pay,utilities
amazon card payment,subscription
apple october card payment,subscription
payroll salary payment,salary
property management monthly rent apartment rent,rent
hesburger bank transfer dinner bill,restaurant
amazon online shopping,shopping
elisa utility payment utility payment,utilities
apollo cinema bank transfer,entertainment
elektrilevi utility bill,utilities
ride pay,transport
grocery payment,groceries
company ltd service payment,salary
amazon bank transfer subscription pay,subscription
travel pay,transport
travel pay,transport
maxima invoice payment grocery payment,groceries
vapiano lunch pay,restaurant
online order,shopping
employer september bank transfer,salary
telia utility payment,utilities
playstation service payment,entertainment
steam movie ticket,entertainment
order payment,shopping
youtube sub payment sub payment,subscription
travel invoice,transport
amazon invoice pay,shopping
selver supermarket payment,groceries
steam concert ticket,entertainment
company ltd monthly salary,salary
november utility bill telia utility bill,utilities
playstation card payment,entertainment
amazon bank transfer online order,shopping
service pay elisa,utilities
joyce restaurant payment cafe purchase,restaurant
bolt bank transfer,transport
invoice pay joyce,restaurant
lidl grocery pay,groceries
vapiano bank transfer,restaurant
restaurant payment joyce,restaurant
restaurant pay vapiano,restaurant
benu pharmacy purchase,healthcare
mcdonalds invoice payment dinner bill,restaurant
euronics online order,shopping
property management apartment rent,rent
bank transfer vapiano dinner bill,restaurant
uber bank transfer travel invoice,transport
rental agency monthly rent,rent
apollo cinema service payment,entertainment
grocery payment coop,groceries
microsoft february bank transfer subscription payment,subscription
landlord rent payment,rent
telia utility bill,utilities
landlord apartment rent,rent
bolt ride invoice,transport
youtube subscription payment,subscription
payroll salary pay monthly salary,salary
lidl bank transfer,groceries
benu doctor bill pharmacy purchase,healthcare
arvutitark online purchase online purchase,shopping
netflix game purchase cinema payment,entertainment
youtube november sub payment monthly sub payment,subscription
selver bank transfer,groceries
monthly sub payment,subscription
company ltd monthly salary,salary
lidl grocery payment,groceries
mcdonalds service payment,restaurant
employer march monthly salary,salary
playstation card pay,entertainment
enefit utility bill,utilities
apotheka card pay,healthcare
dinner bill,restaurant
zalando invoice pay,shopping
card pay mcdonalds,restaurant
confido pharmacy purchase,healthcare
landlord monthly rent,rent
euronics service pay,shopping
arvutitark online shopping online shopping,shopping
spotify movie ticket game purchase,entertainment
landlord rent payment,rent
vapiano restaurant payment,restaurant
utility payment utility bill,utilities
hesburger card payment,restaurant
landlord apartment rent rental payment,rent
online shopping,shopping
joyce service pay,restaurant
netflix invoice payment,entertainment
rental agency card payment,rent
february sub payment,subscription
netflix service pay subscription pay,subscription
lunch payment,restaurant
synlab doctor bill,healthcare
microsoft recurring subscription,subscription
youtube february subscription pay,subscription
steam invoice pay,entertainment
spotify concert ticket concert ticket,entertainment
forus taxi travel payment,transport
lunch payment,restaurant
company ltd may bank transfer,salary
rental agency apartment rent,rent
landlord apartment rent payment,rent
lunch payment,restaurant
pharmacy purchase medical payment,healthcare
property management bank transfer,rent
amazon card payment online shopping,shopping
company ltd card payment,salary
arvutitark online shopping,shopping
bank transfer confido,healthcare
service payment company ltd salary payment,salary
elisa january utility pay,utilities
elektrilevi service payment,utilities
euronics online shopping,shopping
service pay apollo cinema,entertainment
august invoice payment landlord,rent
apple online shopping,shopping
apple subscription payment,subscription
grocery store purchase grocery payment,groceries
bolt card payment,transport
travel payment uber,transport
elektrilevi utility payment,utilities
food delivery order mcdonalds bank transfer,restaurant
employer service payment,salary
travel payment travel invoice,transport
confido pharmacy purchase,healthcare
selver grocery store purchase,groceries
rental payment landlord,rent
benu medical payment,healthcare
travel invoice forus taxi,transport
elektrilevi september utility bill,utilities
rental agency rental pay,rent
spotify monthly subscription payment,subscription
elisa december utility payment,utilities
employer september inv payment,salary
selver grocery pay,groceries
telia bank transfer,utilities
ride payment uber,transport
march subscription pay,subscription
online shopping zalando,shopping
netflix concert ticket,entertainment
mcdonalds invoice payment,restaurant
netflix sub payment,subscription
company ltd bank transfer wage transfer,salary
maxima invoice payment,groceries
subscription payment,subscription
mcdonalds lunch payment,restaurant
card payment employer,salary
playstation movie ticket,entertainment
bank transfer maxima supermarket pay,groceries
telia bank transfer,subscription
forus taxi ride payment,transport
utility payment,utilities
dinner bill,restaurant
telia utility pay,utilities
enefit utility bill,utilities
service payment rental agency apartment rent,rent
medical payment synlab,healthcare
elisa card payment,utilities
service payment spotify,entertainment
telia april utility bill utility payment,utilities
property management rental payment,rent
landlord november service payment,rent
payroll june wage transfer,salary
zalando bank transfer,shopping
employer salary pay,salary
telia july utility bill,utilities
elisa june card payment,utilities
forus taxi ride payment,transport
benu doctor bill,healthcare
bank transfer forus taxi,transport
rental agency rental payment apartment rent,rent
benu bank transfer,healthcare
vapiano service payment,restaurant
steam game purchase cinema payment,entertainment
apotheka invoice payment medical payment,healthcare
ride pay,transport
confido card payment,healthcare
utility payment,utilities
cinema payment concert ticket,entertainment
rental agency inv payment,rent
playstation card pay,entertainment
benu service payment pharmacy purchase,healthcare
enefit card payment utility payment,utilities
joyce cafe purchase,restaurant
amazon online shopping,shopping
elektrilevi april service pay,utilities
online order arvutitark,shopping
elisa september card payment,utilities
amazon online order,shopping
apotheka doctor bill,healthcare
enefit card pay utility bill,utilities
supermarket payment,groceries
grocery store purchase,groceries
elisa utility bill utility payment,utilities
utility bill,utilities
vapiano dinner bill restaurant payment,restaurant
zalando bank transfer,shopping
service payment microsoft,subscription
wage transfer company ltd invoice payment,salary
bolt ride payment ride invoice,transport
amazon online shopping,shopping
amazon online shopping,shopping
supermarket pay,groceries
ride pay,transport
amazon online order,shopping
benu card pay,healthcare
rental agency rental payment,rent
playstation cinema pay game purchase,entertainment
selver grocery payment,groceries
joyce service payment,restaurant
selver grocery store purchase,groceries
apple online shopping,shopping
youtube september recurring subscription,subscription
apollo cinema game purchase,entertainment
forus taxi ride invoice,transport
coop bank transfer,groceries
selver service payment grocery store purchase,groceries
february bank transfer,salary
spotify game purchase,entertainment
monthly subscription payment monthly subscription payment,subscription
selver service payment,groceries
company ltd card payment,salary
landlord monthly rent,rent
may rental pay landlord,rent
confido invoice payment pharmacy purchase,healthcare
mcdonalds dinner bill,restaurant
synlab medical pay,healthcare
utility payment,utilities
travel invoice,transport
amazon recurring subscription,subscription
arvutitark online shopping,shopping
online order,shopping
mcdonalds lunch pay,restaurant
benu medical pay,healthcare
microsoft january bank transfer,subscription
card payment arvutitark,shopping
bolt travel payment,transport
utility bill,utilities
payroll wage transfer,salary
rental agency apartment rent apartment rent,rent
microsoft bank transfer,subscription
telia december utility payment,utilities
supermarket pay,groceries
forus taxi bank transfer,transport
mcdonalds bank transfer,restaurant
ride invoice card payment bolt,transport
joyce lunch pay restaurant pay,restaurant
lidl grocery store purchase,groceries
uber travel invoice,transport
confido pharmacy purchase doctor bill,healthcare
utility bill elektrilevi,utilities
forus taxi ride invoice,transport
youtube september inv payment,subscription
mcdonalds card pay,restaurant
amazon online shopping,shopping
employer may monthly salary,salary
selver invoice payment,groceries
recurring sub,subscription
vapiano dinner bill,restaurant
card payment playstation,entertainment
apple service payment,shopping
benu bank transfer,healthcare
maxima grocery payment,groceries
synlab service payment,healthcare
company ltd bank transfer,salary
telia utility bill,utilities
rental agency monthly rent,rent
apple july monthly subscription pay,subscription
elisa january utility pay,utilities
lunch payment,restaurant
hesburger food delivery order,restaurant
amazon online purchase,shopping
benu card payment doctor bill,healthcare
synlab doctor bill,healthcare
company ltd november wage transfer salary pay,salary
telia bank transfer,subscription
synlab doctor bill,healthcare
employer card pay,salary
hesburger dinner bill,restaurant
maxima card payment,groceries
apple monthly subscription pay,subscription
selver supermarket payment,groceries
synlab medical payment,healthcare
rental agency card payment,rent
spotify game purchase,entertainment
confido pharmacy purchase,healthcare
euronics online purchase,shopping
rental agency may bank transfer,rent
apotheka pharmacy purchase pharmacy purchase,healthcare
apotheka medical payment doctor bill,healthcare
service payment mcdonalds,restaurant
telia monthly subscription pay,subscription
bank transfer synlab,healthcare
confido doctor bill,healthcare
august recurring subscription,subscription
monthly salary payroll,salary
apollo cinema service pay,entertainment
benu medical payment,healthcare
order pay,shopping
amazon online shopping,shopping
elisa december utility bill utility pay,utilities
netflix bank transfer movie ticket,entertainment
restaurant pay,restaurant
mcdonalds cafe purchase,restaurant
apple monthly sub payment,subscription
zalando invoice payment,shopping
youtube december monthly sub payment,subscription
telia invoice pay,utilities
apotheka pharmacy purchase,healthcare
amazon recurring subscription,subscription
euronics service payment,shopping
arvutitark inv payment online shopping,shopping
apotheka bank transfer,healthcare
lidl grocery payment,groceries
apple online shopping online order,shopping
service payment apotheka,healthcare
january service pay,subscription
forus taxi travel pay,transport
